"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3036","Login fails due to invalid credentials","","2026-01-20","broken","2026-01-20","","","",""
"","3082","Submit form with valid user data","","2026-01-20","passed","2026-01-20","","","",""
"","3245","Submit form with different data types","","2026-01-20","passed","2026-01-20","","","",""
"","3345","Login fails when username is empty","","2026-01-20","broken","2026-01-20","","","",""
"","3181","Submit form with empty current address","","2026-01-20","passed","2026-01-20","","","",""
"","3422","Login fails due to invalid credentials","","2026-01-20","broken","2026-01-20","","","",""
"","3255","User can navigate back to login from registration page","","2026-01-20","passed","2026-01-20","","","",""
"","20079","Submit form with invalid email shows error","","2026-01-20","broken","2026-01-20","","","",""
"","3323","Login fails due to deleted account","","2026-01-20","broken","2026-01-20","","","",""
"","3504","Submit form with different data types","","2026-01-20","passed","2026-01-20","","","",""
"","4522","User can login with valid credentials","","2026-01-20","broken","2026-01-20","","","",""
