"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6067","Submit form with different data types","","2026-01-21","passed","2026-01-21","","","",""
"","6582","Login fails due to invalid credentials","","2026-01-21","passed","2026-01-21","","","",""
"","12409","Submit form with different data types","","2026-01-21","broken","2026-01-21","","","",""
"","6072","Submit form with empty current address","","2026-01-21","passed","2026-01-21","","","",""
"","5298","Login fails when username is empty","","2026-01-21","passed","2026-01-21","","","",""
"","11668","User can navigate back to login from registration page","","2026-01-21","passed","2026-01-21","","","",""
"","8417","User can login with valid credentials","","2026-01-21","passed","2026-01-21","","","",""
"","6205","Login fails due to deleted account","","2026-01-21","passed","2026-01-21","","","",""
"","6485","Submit form with invalid email shows error","","2026-01-21","passed","2026-01-21","","","",""
"","6038","Submit form with valid user data","","2026-01-21","passed","2026-01-21","","","",""
"","7446","Login fails due to invalid credentials","","2026-01-21","passed","2026-01-21","","","",""
